name,image_url
테마 기획전,https://t1.daumcdn.net/friends/prod/category/200310_category_babydreaming_W.jpg
토이,https://t1.daumcdn.net/friends/prod/category/category_toy_W.jpg
리빙,https://t1.daumcdn.net/friends/prod/category/category_living_W.jpg
잡화,https://t1.daumcdn.net/friends/prod/category/category_Accessory_W.jpg
문구,https://t1.daumcdn.net/friends/prod/category/category_Stationery_W.jpg
의류,https://t1.daumcdn.net/friends/prod/category/category_Apparel_W1.jpg
파자마,https://t1.daumcdn.net/friends/prod/category/category_pajamas_W2.jpg
여행/레져,https://t1.daumcdn.net/friends/prod/category/category_leisure_W.jpg
생활테크,https://t1.daumcdn.net/friends/prod/category/1004_category_Electronic_W.jpg
폰 액세서리,https://t1.daumcdn.net/friends/prod/category/category_phone_W.jpg
식품,https://t1.daumcdn.net/friends/prod/category/category_food_W.jpg
